"DMF_SON_1E-4.spc"
"Wavelength nm."	"Abs."
400.00	0.052652
400.50	0.052584
401.00	0.052501
401.50	0.052366
402.00	0.052325
402.50	0.052164
403.00	0.052025
403.50	0.051948
404.00	0.051875
404.50	0.051688
405.00	0.051658
405.50	0.051561
406.00	0.051525
406.50	0.051511
407.00	0.051365
407.50	0.051233
408.00	0.051228
408.50	0.051080
409.00	0.050888
409.50	0.050835
410.00	0.050617
410.50	0.050414
411.00	0.050309
411.50	0.050262
412.00	0.050167
412.50	0.050078
413.00	0.050011
413.50	0.049729
414.00	0.049570
414.50	0.049359
415.00	0.049230
415.50	0.049204
416.00	0.049267
416.50	0.049255
417.00	0.049309
417.50	0.049307
418.00	0.049203
418.50	0.049212
419.00	0.049110
419.50	0.049091
420.00	0.049094
420.50	0.049166
421.00	0.049162
421.50	0.049248
422.00	0.049255
422.50	0.049372
423.00	0.049470
423.50	0.049528
424.00	0.049581
424.50	0.049715
425.00	0.049783
425.50	0.049849
426.00	0.050020
426.50	0.050185
427.00	0.050321
427.50	0.050529
428.00	0.050655
428.50	0.050760
429.00	0.050958
429.50	0.051183
430.00	0.051330
430.50	0.051568
431.00	0.051835
431.50	0.052030
432.00	0.052184
432.50	0.052419
433.00	0.052545
433.50	0.052676
434.00	0.052865
434.50	0.053050
435.00	0.053208
435.50	0.053455
436.00	0.053631
436.50	0.053708
437.00	0.053856
437.50	0.054032
438.00	0.054114
438.50	0.054162
439.00	0.054326
439.50	0.054457
440.00	0.054403
440.50	0.054410
441.00	0.054469
441.50	0.054419
442.00	0.054319
442.50	0.054403
443.00	0.054330
443.50	0.054250
444.00	0.054152
444.50	0.054042
445.00	0.053818
445.50	0.053736
446.00	0.053611
446.50	0.053548
447.00	0.053399
447.50	0.053348
448.00	0.053269
448.50	0.053243
449.00	0.053183
449.50	0.053154
450.00	0.053080
450.50	0.053043
451.00	0.053054
451.50	0.052989
452.00	0.052995
452.50	0.052997
453.00	0.053014
453.50	0.053006
454.00	0.053054
454.50	0.053099
455.00	0.053222
455.50	0.053378
456.00	0.053498
456.50	0.053642
457.00	0.053955
457.50	0.054132
458.00	0.054340
458.50	0.054602
459.00	0.054905
459.50	0.055113
460.00	0.055427
460.50	0.055711
461.00	0.056110
461.50	0.056533
462.00	0.057000
462.50	0.057425
463.00	0.057857
463.50	0.058205
464.00	0.058585
464.50	0.058927
465.00	0.059370
465.50	0.059805
466.00	0.060242
466.50	0.060642
467.00	0.061086
467.50	0.061372
468.00	0.061675
468.50	0.061963
469.00	0.062280
469.50	0.062565
470.00	0.062836
470.50	0.063104
471.00	0.063285
471.50	0.063395
472.00	0.063514
472.50	0.063691
473.00	0.063822
473.50	0.063834
474.00	0.063907
474.50	0.063913
475.00	0.063947
475.50	0.063963
476.00	0.064074
476.50	0.064105
477.00	0.064087
477.50	0.064013
478.00	0.063917
478.50	0.063859
479.00	0.063769
479.50	0.063718
480.00	0.063647
480.50	0.063609
481.00	0.063564
481.50	0.063498
482.00	0.063438
482.50	0.063325
483.00	0.063161
483.50	0.062988
484.00	0.062858
484.50	0.062646
485.00	0.062497
485.50	0.062297
486.00	0.062058
486.50	0.061742
487.00	0.061419
487.50	0.061016
488.00	0.060673
488.50	0.060215
489.00	0.059735
489.50	0.059222
490.00	0.058686
490.50	0.058020
491.00	0.057417
491.50	0.056829
492.00	0.056144
492.50	0.055438
493.00	0.054714
493.50	0.053984
494.00	0.053205
494.50	0.052492
495.00	0.051831
495.50	0.051159
496.00	0.050401
496.50	0.049693
497.00	0.049030
497.50	0.048357
498.00	0.047788
498.50	0.047317
499.00	0.046831
499.50	0.046400
500.00	0.046006
500.50	0.045601
501.00	0.045318
501.50	0.045057
502.00	0.044834
502.50	0.044680
503.00	0.044656
503.50	0.044641
504.00	0.044692
504.50	0.044820
505.00	0.045004
505.50	0.045188
506.00	0.045411
506.50	0.045753
507.00	0.046092
507.50	0.046496
508.00	0.046951
508.50	0.047395
509.00	0.047908
509.50	0.048504
510.00	0.049115
510.50	0.049757
511.00	0.050481
511.50	0.051175
512.00	0.051845
512.50	0.052478
513.00	0.053184
513.50	0.053956
514.00	0.054657
514.50	0.055473
515.00	0.056352
515.50	0.057079
516.00	0.057874
516.50	0.058732
517.00	0.059523
517.50	0.060227
518.00	0.061096
518.50	0.061811
519.00	0.062521
519.50	0.063209
520.00	0.063909
520.50	0.064472
521.00	0.064939
521.50	0.065358
522.00	0.065694
