"IPROH_1E-3_2.spc"
"Wavelength nm."	"Abs."
400.00	0.423052
400.50	0.421860
401.00	0.420273
401.50	0.418330
402.00	0.416466
402.50	0.414595
403.00	0.412612
403.50	0.410819
404.00	0.408972
404.50	0.407167
405.00	0.405470
405.50	0.403995
406.00	0.402309
406.50	0.400854
407.00	0.399561
407.50	0.398204
408.00	0.396794
408.50	0.395590
409.00	0.394264
409.50	0.392793
410.00	0.391491
410.50	0.390227
411.00	0.389024
411.50	0.387940
412.00	0.386902
412.50	0.385667
413.00	0.384680
413.50	0.383624
414.00	0.382547
414.50	0.381665
415.00	0.380957
415.50	0.380000
416.00	0.379122
416.50	0.378310
417.00	0.377457
417.50	0.376679
418.00	0.376056
418.50	0.375450
419.00	0.374960
419.50	0.374506
420.00	0.374165
420.50	0.373905
421.00	0.373598
421.50	0.373366
422.00	0.373164
422.50	0.372873
423.00	0.372604
423.50	0.372472
424.00	0.372306
424.50	0.372231
425.00	0.372236
425.50	0.372286
426.00	0.372393
426.50	0.372495
427.00	0.372578
427.50	0.372752
428.00	0.372977
428.50	0.373119
429.00	0.373332
429.50	0.373631
430.00	0.373901
430.50	0.374137
431.00	0.374488
431.50	0.374855
432.00	0.375204
432.50	0.375529
433.00	0.375867
433.50	0.376226
434.00	0.376485
434.50	0.376876
435.00	0.377187
435.50	0.377504
436.00	0.377810
436.50	0.378189
437.00	0.378482
437.50	0.378862
438.00	0.379198
438.50	0.379632
439.00	0.380043
439.50	0.380516
440.00	0.380999
440.50	0.381501
441.00	0.381870
441.50	0.382261
442.00	0.382559
442.50	0.382888
443.00	0.383270
443.50	0.383698
444.00	0.384138
444.50	0.384534
445.00	0.384900
445.50	0.385293
446.00	0.385700
446.50	0.386095
447.00	0.386543
447.50	0.386945
448.00	0.387299
448.50	0.387627
449.00	0.387991
449.50	0.388336
450.00	0.388646
450.50	0.388977
451.00	0.389235
451.50	0.389513
452.00	0.389670
452.50	0.390010
453.00	0.390166
453.50	0.390391
454.00	0.390605
454.50	0.390782
455.00	0.390784
455.50	0.390958
456.00	0.391211
456.50	0.391343
457.00	0.391539
457.50	0.391934
458.00	0.392256
458.50	0.392527
459.00	0.392792
459.50	0.393128
460.00	0.393340
460.50	0.393603
461.00	0.393731
461.50	0.393907
462.00	0.394094
462.50	0.394420
463.00	0.394682
463.50	0.395170
464.00	0.395566
464.50	0.395987
465.00	0.396322
465.50	0.396736
466.00	0.397172
466.50	0.397818
467.00	0.398518
467.50	0.399172
468.00	0.399956
468.50	0.400608
469.00	0.401307
469.50	0.401899
470.00	0.402626
470.50	0.403270
471.00	0.404039
471.50	0.404785
472.00	0.405611
472.50	0.406355
473.00	0.407059
473.50	0.407670
474.00	0.408352
474.50	0.409129
475.00	0.409878
475.50	0.410623
476.00	0.411389
476.50	0.412012
477.00	0.412517
477.50	0.413006
478.00	0.413506
478.50	0.413891
479.00	0.414301
479.50	0.414684
480.00	0.414880
480.50	0.414986
481.00	0.415099
481.50	0.415065
482.00	0.414866
482.50	0.414701
483.00	0.414497
483.50	0.414063
484.00	0.413527
484.50	0.412899
485.00	0.412173
485.50	0.411307
486.00	0.410374
486.50	0.409259
487.00	0.408076
487.50	0.406689
488.00	0.405269
488.50	0.403808
489.00	0.402228
489.50	0.400555
490.00	0.398951
490.50	0.397136
491.00	0.395279
491.50	0.393493
492.00	0.391580
492.50	0.389648
493.00	0.387717
493.50	0.385749
494.00	0.383756
494.50	0.381869
495.00	0.379989
495.50	0.378120
496.00	0.376285
496.50	0.374591
497.00	0.372874
497.50	0.371104
498.00	0.369502
498.50	0.367920
499.00	0.366279
499.50	0.364777
500.00	0.363447
500.50	0.362031
501.00	0.360859
501.50	0.359710
502.00	0.358606
502.50	0.357559
503.00	0.356633
503.50	0.355652
504.00	0.354746
504.50	0.353917
505.00	0.353150
505.50	0.352534
506.00	0.351955
506.50	0.351482
507.00	0.351075
507.50	0.350717
508.00	0.350330
508.50	0.350047
509.00	0.349777
509.50	0.349555
510.00	0.349388
510.50	0.349245
511.00	0.349150
511.50	0.349070
512.00	0.349010
512.50	0.348925
513.00	0.348934
513.50	0.348828
514.00	0.348757
514.50	0.348642
515.00	0.348502
515.50	0.348307
516.00	0.348089
516.50	0.347897
517.00	0.347608
517.50	0.347238
518.00	0.346813
518.50	0.346331
519.00	0.345732
519.50	0.345090
520.00	0.344346
520.50	0.343427
521.00	0.342451
521.50	0.341291
522.00	0.339945
522.50	0.338548
523.00	0.337025
523.50	0.335272
524.00	0.333438
524.50	0.331578
525.00	0.329556
525.50	0.327395
526.00	0.325225
526.50	0.322890
527.00	0.320408
527.50	0.317889
528.00	0.315256
528.50	0.312584
529.00	0.309904
529.50	0.307182
530.00	0.304380
530.50	0.301754
531.00	0.299137
531.50	0.296466
532.00	0.293833
532.50	0.291264
533.00	0.288587
533.50	0.285965
534.00	0.283549
534.50	0.281226
535.00	0.278900
535.50	0.276694
536.00	0.274567
536.50	0.272410
537.00	0.270308
537.50	0.268325
538.00	0.266467
538.50	0.264570
539.00	0.262840
539.50	0.261203
540.00	0.259613
540.50	0.258052
541.00	0.256574
541.50	0.255102
542.00	0.253688
542.50	0.252310
543.00	0.250987
543.50	0.249755
544.00	0.248489
544.50	0.247259
545.00	0.246033
545.50	0.244793
546.00	0.243515
546.50	0.242280
547.00	0.240940
547.50	0.239685
548.00	0.238365
548.50	0.236911
549.00	0.235620
549.50	0.234355
550.00	0.232915
550.50	0.231469
551.00	0.230138
551.50	0.228604
552.00	0.227053
552.50	0.225525
553.00	0.223937
553.50	0.222292
554.00	0.220635
554.50	0.218977
555.00	0.217307
555.50	0.215732
556.00	0.214095
556.50	0.212457
557.00	0.210781
557.50	0.209118
558.00	0.207366
558.50	0.205734
559.00	0.203966
559.50	0.202211
560.00	0.200503
560.50	0.198723
561.00	0.196902
561.50	0.195149
562.00	0.193380
562.50	0.191601
563.00	0.189858
563.50	0.188014
564.00	0.186148
564.50	0.184263
565.00	0.182308
565.50	0.180442
566.00	0.178561
566.50	0.176701
567.00	0.174899
567.50	0.172986
568.00	0.171025
568.50	0.169083
569.00	0.167100
569.50	0.165095
570.00	0.163186
570.50	0.161303
571.00	0.159446
571.50	0.157566
572.00	0.155688
572.50	0.153777
573.00	0.151891
573.50	0.149968
574.00	0.148127
574.50	0.146263
575.00	0.144411
575.50	0.142468
576.00	0.140645
576.50	0.138784
577.00	0.136899
577.50	0.135094
578.00	0.133360
578.50	0.131589
579.00	0.129836
579.50	0.128173
580.00	0.126498
580.50	0.124853
581.00	0.123176
581.50	0.121545
582.00	0.119922
582.50	0.118330
583.00	0.116750
583.50	0.115273
584.00	0.113861
584.50	0.112442
585.00	0.111033
585.50	0.109586
586.00	0.108115
586.50	0.106671
587.00	0.105230
587.50	0.103825
588.00	0.102470
588.50	0.101180
589.00	0.099891
589.50	0.098599
590.00	0.097363
590.50	0.096135
591.00	0.094864
591.50	0.093648
592.00	0.092419
592.50	0.091173
593.00	0.090023
593.50	0.088899
594.00	0.087787
594.50	0.086723
595.00	0.085697
595.50	0.084570
596.00	0.083501
596.50	0.082476
597.00	0.081500
597.50	0.080484
598.00	0.079499
598.50	0.078532
599.00	0.077570
599.50	0.076657
600.00	0.075805
600.50	0.075036
601.00	0.074270
601.50	0.073501
602.00	0.072662
602.50	0.071891
603.00	0.071134
603.50	0.070422
604.00	0.069721
604.50	0.069050
605.00	0.068369
605.50	0.067662
606.00	0.066987
606.50	0.066291
607.00	0.065634
607.50	0.064982
608.00	0.064446
608.50	0.063814
609.00	0.063270
609.50	0.062722
610.00	0.062207
610.50	0.061653
611.00	0.061133
611.50	0.060553
612.00	0.059998
612.50	0.059473
613.00	0.058965
613.50	0.058484
614.00	0.057970
614.50	0.057532
615.00	0.057053
615.50	0.056601
616.00	0.056137
616.50	0.055690
617.00	0.055238
617.50	0.054842
618.00	0.054352
618.50	0.053943
619.00	0.053558
619.50	0.053170
620.00	0.052795
620.50	0.052421
621.00	0.052019
621.50	0.051644
622.00	0.051176
622.50	0.050693
623.00	0.050342
623.50	0.050023
624.00	0.049734
624.50	0.049500
625.00	0.049212
625.50	0.048895
626.00	0.048584
626.50	0.048197
627.00	0.047850
627.50	0.047602
628.00	0.047321
628.50	0.046964
629.00	0.046687
629.50	0.046483
630.00	0.046155
630.50	0.045872
631.00	0.045558
631.50	0.045265
632.00	0.044876
632.50	0.044517
633.00	0.044158
633.50	0.043956
634.00	0.043691
634.50	0.043449
635.00	0.043241
635.50	0.042981
636.00	0.042728
636.50	0.042459
637.00	0.042210
637.50	0.042025
638.00	0.041841
638.50	0.041603
639.00	0.041405
639.50	0.041157
640.00	0.040851
640.50	0.040583
641.00	0.040306
641.50	0.040074
642.00	0.039911
642.50	0.039641
643.00	0.039387
643.50	0.039122
644.00	0.038819
644.50	0.038523
645.00	0.038406
645.50	0.038220
646.00	0.038125
646.50	0.037968
647.00	0.037769
647.50	0.037484
648.00	0.037309
648.50	0.037049
649.00	0.036897
649.50	0.036792
650.00	0.036668
650.50	0.036439
651.00	0.036247
651.50	0.036052
652.00	0.035827
652.50	0.035544
653.00	0.035407
653.50	0.035254
654.00	0.035004
654.50	0.034768
655.00	0.034604
655.50	0.034363
656.00	0.034107
656.50	0.033906
657.00	0.033712
657.50	0.033555
658.00	0.033413
658.50	0.033263
659.00	0.033076
659.50	0.032903
660.00	0.032753
660.50	0.032533
661.00	0.032348
661.50	0.032257
662.00	0.032091
662.50	0.031937
663.00	0.031773
663.50	0.031633
664.00	0.031421
664.50	0.031196
665.00	0.031006
665.50	0.030851
666.00	0.030692
666.50	0.030578
667.00	0.030460
667.50	0.030334
668.00	0.030215
668.50	0.030015
669.00	0.029803
669.50	0.029760
670.00	0.029565
670.50	0.029330
671.00	0.029189
671.50	0.029089
672.00	0.028827
672.50	0.028696
673.00	0.028584
673.50	0.028455
674.00	0.028273
674.50	0.028124
675.00	0.027963
675.50	0.027894
676.00	0.027778
676.50	0.027622
677.00	0.027583
677.50	0.027499
678.00	0.027313
678.50	0.027173
679.00	0.027121
679.50	0.026988
680.00	0.026843
680.50	0.026731
681.00	0.026640
681.50	0.026454
682.00	0.026224
682.50	0.026074
683.00	0.025923
683.50	0.025805
684.00	0.025748
684.50	0.025713
685.00	0.025618
685.50	0.025474
686.00	0.025361
686.50	0.025226
687.00	0.025048
687.50	0.024959
688.00	0.024928
688.50	0.024755
689.00	0.024659
689.50	0.024604
690.00	0.024494
690.50	0.024374
691.00	0.024291
691.50	0.024197
692.00	0.024177
692.50	0.024038
693.00	0.023974
693.50	0.023904
694.00	0.023762
694.50	0.023572
695.00	0.023429
695.50	0.023274
696.00	0.023178
696.50	0.023097
697.00	0.023054
697.50	0.023099
698.00	0.023012
698.50	0.022926
699.00	0.022744
699.50	0.022607
700.00	0.022429
700.50	0.022316
701.00	0.022176
701.50	0.022072
702.00	0.021978
702.50	0.021894
703.00	0.021776
703.50	0.021743
704.00	0.021721
704.50	0.021603
705.00	0.021440
705.50	0.021383
706.00	0.021193
706.50	0.021055
707.00	0.020963
