"IPROH_SON_1E-4.spc"
"Wavelength nm."	"Abs."
400.00	0.058156
400.50	0.058081
401.00	0.057928
401.50	0.057751
402.00	0.057367
402.50	0.057166
403.00	0.056864
403.50	0.056636
404.00	0.056396
404.50	0.056240
405.00	0.055945
405.50	0.055779
406.00	0.055511
406.50	0.055279
407.00	0.055162
407.50	0.054994
408.00	0.054795
408.50	0.054702
409.00	0.054489
409.50	0.054246
410.00	0.054137
410.50	0.053889
411.00	0.053653
411.50	0.053531
412.00	0.053376
412.50	0.053182
413.00	0.053066
413.50	0.052939
414.00	0.052738
414.50	0.052662
415.00	0.052618
415.50	0.052555
416.00	0.052459
416.50	0.052523
417.00	0.052464
417.50	0.052316
418.00	0.052183
418.50	0.052098
419.00	0.051955
419.50	0.051949
420.00	0.052012
420.50	0.052126
421.00	0.052064
421.50	0.052089
422.00	0.051991
422.50	0.051870
423.00	0.051799
423.50	0.051842
424.00	0.051809
424.50	0.051846
425.00	0.051920
425.50	0.051865
426.00	0.051877
426.50	0.051852
427.00	0.051881
427.50	0.051881
428.00	0.052012
428.50	0.052046
429.00	0.052132
429.50	0.052154
430.00	0.052227
430.50	0.052238
431.00	0.052284
431.50	0.052317
432.00	0.052426
432.50	0.052431
433.00	0.052509
433.50	0.052671
434.00	0.052735
434.50	0.052731
435.00	0.052747
435.50	0.052756
436.00	0.052711
436.50	0.052711
437.00	0.052756
437.50	0.052858
438.00	0.052952
438.50	0.053059
439.00	0.053187
439.50	0.053311
440.00	0.053449
440.50	0.053485
441.00	0.053540
441.50	0.053623
442.00	0.053649
442.50	0.053756
443.00	0.053830
443.50	0.053953
444.00	0.053978
444.50	0.053928
445.00	0.053830
445.50	0.053828
446.00	0.053862
446.50	0.053911
447.00	0.054084
447.50	0.054193
448.00	0.054264
448.50	0.054250
449.00	0.054262
449.50	0.054242
450.00	0.054270
450.50	0.054327
451.00	0.054372
451.50	0.054491
452.00	0.054539
452.50	0.054683
453.00	0.054814
453.50	0.054860
454.00	0.054886
454.50	0.054851
455.00	0.054765
455.50	0.054730
456.00	0.054798
456.50	0.054835
457.00	0.054986
457.50	0.055111
458.00	0.055179
458.50	0.055230
459.00	0.055326
459.50	0.055367
460.00	0.055416
460.50	0.055513
461.00	0.055622
461.50	0.055738
462.00	0.055850
462.50	0.056005
463.00	0.056096
463.50	0.056158
464.00	0.056161
464.50	0.056261
465.00	0.056250
465.50	0.056307
466.00	0.056484
466.50	0.056668
467.00	0.056845
467.50	0.057056
468.00	0.057280
468.50	0.057332
469.00	0.057456
469.50	0.057516
470.00	0.057668
470.50	0.057793
471.00	0.058055
471.50	0.058280
472.00	0.058599
472.50	0.058778
473.00	0.058951
473.50	0.059016
474.00	0.059212
474.50	0.059324
475.00	0.059515
475.50	0.059723
476.00	0.059994
476.50	0.060173
477.00	0.060411
477.50	0.060624
478.00	0.060781
478.50	0.060974
479.00	0.061123
479.50	0.061142
480.00	0.061232
480.50	0.061324
481.00	0.061378
481.50	0.061505
482.00	0.061674
482.50	0.061715
483.00	0.061790
483.50	0.061802
484.00	0.061676
484.50	0.061583
485.00	0.061523
485.50	0.061379
486.00	0.061230
486.50	0.061006
487.00	0.060729
487.50	0.060408
488.00	0.060073
488.50	0.059690
489.00	0.059333
489.50	0.058976
490.00	0.058567
490.50	0.058092
491.00	0.057678
491.50	0.057216
492.00	0.056615
492.50	0.056083
493.00	0.055611
493.50	0.055032
494.00	0.054436
494.50	0.053956
495.00	0.053456
495.50	0.052911
496.00	0.052414
496.50	0.052012
497.00	0.051615
497.50	0.051176
498.00	0.050797
498.50	0.050420
499.00	0.050069
499.50	0.049738
500.00	0.049475
500.50	0.049246
501.00	0.049069
501.50	0.048871
502.00	0.048723
502.50	0.048586
503.00	0.048507
503.50	0.048455
504.00	0.048439
504.50	0.048495
505.00	0.048577
505.50	0.048662
506.00	0.048787
506.50	0.048973
507.00	0.049193
507.50	0.049509
508.00	0.049736
508.50	0.050005
509.00	0.050305
509.50	0.050609
510.00	0.050847
510.50	0.051228
511.00	0.051616
511.50	0.052000
512.00	0.052343
512.50	0.052806
513.00	0.053237
513.50	0.053656
514.00	0.054074
514.50	0.054479
515.00	0.054840
515.50	0.055212
516.00	0.055514
516.50	0.055913
517.00	0.056312
517.50	0.056644
518.00	0.056942
518.50	0.057240
519.00	0.057449
519.50	0.057580
520.00	0.057715
520.50	0.057817
521.00	0.057860
521.50	0.057753
522.00	0.057676
522.50	0.057485
523.00	0.057178
523.50	0.056862
524.00	0.056542
524.50	0.056078
525.00	0.055576
525.50	0.055032
526.00	0.054480
526.50	0.053796
527.00	0.053041
527.50	0.052280
528.00	0.051439
528.50	0.050522
529.00	0.049651
529.50	0.048757
530.00	0.047782
530.50	0.046872
531.00	0.045872
531.50	0.044868
532.00	0.043884
532.50	0.042993
533.00	0.042039
533.50	0.041271
534.00	0.040474
534.50	0.039749
535.00	0.038938
535.50	0.038208
536.00	0.037405
536.50	0.036661
537.00	0.035895
537.50	0.035192
538.00	0.034516
538.50	0.033905
539.00	0.033356
539.50	0.032910
540.00	0.032534
540.50	0.032156
541.00	0.031738
541.50	0.031337
542.00	0.030927
542.50	0.030474
543.00	0.030140
543.50	0.029797
544.00	0.029422
544.50	0.029077
545.00	0.028780
545.50	0.028462
546.00	0.028197
546.50	0.027969
547.00	0.027711
547.50	0.027490
548.00	0.027166
548.50	0.026829
549.00	0.026520
549.50	0.026250
550.00	0.025953
550.50	0.025735
551.00	0.025571
551.50	0.025382
552.00	0.025148
552.50	0.024888
553.00	0.024572
553.50	0.024292
554.00	0.023952
554.50	0.023726
555.00	0.023459
555.50	0.023291
556.00	0.023039
556.50	0.022873
557.00	0.022599
557.50	0.022406
558.00	0.022212
558.50	0.021981
559.00	0.021737
559.50	0.021506
560.00	0.021276
560.50	0.020983
561.00	0.020810
561.50	0.020589
562.00	0.020389
562.50	0.020224
563.00	0.020028
563.50	0.019771
564.00	0.019585
564.50	0.019343
565.00	0.019089
565.50	0.018924
566.00	0.018764
566.50	0.018565
567.00	0.018450
567.50	0.018208
568.00	0.017979
568.50	0.017697
569.00	0.017481
569.50	0.017256
570.00	0.017075
570.50	0.016893
571.00	0.016754
571.50	0.016562
572.00	0.016330
572.50	0.016126
573.00	0.015958
573.50	0.015778
574.00	0.015662
574.50	0.015499
575.00	0.015360
575.50	0.015085
576.00	0.014879
576.50	0.014594
577.00	0.014380
577.50	0.014181
578.00	0.014069
578.50	0.013832
579.00	0.013678
579.50	0.013517
580.00	0.013351
580.50	0.013199
581.00	0.013119
581.50	0.012940
582.00	0.012779
582.50	0.012564
583.00	0.012383
583.50	0.012228
584.00	0.012090
584.50	0.011913
585.00	0.011869
585.50	0.011803
586.00	0.011644
586.50	0.011530
587.00	0.011392
587.50	0.011155
588.00	0.010957
588.50	0.010782
589.00	0.010645
589.50	0.010533
590.00	0.010524
590.50	0.010398
591.00	0.010335
591.50	0.010288
592.00	0.010180
592.50	0.009992
593.00	0.009905
593.50	0.009772
594.00	0.009607
594.50	0.009532
595.00	0.009472
595.50	0.009293
596.00	0.009136
596.50	0.009033
597.00	0.008870
597.50	0.008747
598.00	0.008689
598.50	0.008575
599.00	0.008525
599.50	0.008491
600.00	0.008417
600.50	0.008324
601.00	0.008326
601.50	0.008249
602.00	0.008174
602.50	0.008108
603.00	0.008048
603.50	0.008005
604.00	0.007904
604.50	0.007816
605.00	0.007724
605.50	0.007645
606.00	0.007622
606.50	0.007540
607.00	0.007490
607.50	0.007404
608.00	0.007386
608.50	0.007268
609.00	0.007272
609.50	0.007253
610.00	0.007244
610.50	0.007137
611.00	0.007059
611.50	0.006917
612.00	0.006835
612.50	0.006789
613.00	0.006770
613.50	0.006800
614.00	0.006769
614.50	0.006737
615.00	0.006697
615.50	0.006652
616.00	0.006581
616.50	0.006539
617.00	0.006485
617.50	0.006441
618.00	0.006352
618.50	0.006269
619.00	0.006238
619.50	0.006234
620.00	0.006232
620.50	0.006244
621.00	0.006198
621.50	0.006141
622.00	0.006010
622.50	0.005924
623.00	0.005881
623.50	0.005890
624.00	0.005923
624.50	0.005982
625.00	0.005956
625.50	0.005989
626.00	0.005988
626.50	0.005948
627.00	0.005908
627.50	0.005917
628.00	0.005835
628.50	0.005766
629.00	0.005783
629.50	0.005751
630.00	0.005695
630.50	0.005692
631.00	0.005616
631.50	0.005484
632.00	0.005438
632.50	0.005339
633.00	0.005254
633.50	0.005248
634.00	0.005212
634.50	0.005163
635.00	0.005150
635.50	0.005085
636.00	0.005092
636.50	0.005096
637.00	0.005090
637.50	0.005162
638.00	0.005217
638.50	0.005112
639.00	0.005100
639.50	0.005027
640.00	0.004885
640.50	0.004775
641.00	0.004767
641.50	0.004707
642.00	0.004736
642.50	0.004709
643.00	0.004761
643.50	0.004779
644.00	0.004731
644.50	0.004665
645.00	0.004689
645.50	0.004660
646.00	0.004673
646.50	0.004667
647.00	0.004595
647.50	0.004529
648.00	0.004530
648.50	0.004433
649.00	0.004423
649.50	0.004474
650.00	0.004503
650.50	0.004408
651.00	0.004422
651.50	0.004361
652.00	0.004368
652.50	0.004303
653.00	0.004343
653.50	0.004320
654.00	0.004365
654.50	0.004328
655.00	0.004326
655.50	0.004321
656.00	0.004247
656.50	0.004199
657.00	0.004178
657.50	0.004183
658.00	0.004135
658.50	0.004133
659.00	0.004105
659.50	0.004035
660.00	0.004022
660.50	0.003990
661.00	0.003995
661.50	0.004023
662.00	0.004071
662.50	0.004010
663.00	0.003981
663.50	0.003978
664.00	0.003835
664.50	0.003751
665.00	0.003765
665.50	0.003779
666.00	0.003795
666.50	0.003884
667.00	0.003909
667.50	0.003874
668.00	0.003864
668.50	0.003753
669.00	0.003686
669.50	0.003697
670.00	0.003672
670.50	0.003604
671.00	0.003648
671.50	0.003695
672.00	0.003644
672.50	0.003644
673.00	0.003618
673.50	0.003608
674.00	0.003572
674.50	0.003526
675.00	0.003524
675.50	0.003541
676.00	0.003469
676.50	0.003389
677.00	0.003369
677.50	0.003339
678.00	0.003300
678.50	0.003313
679.00	0.003353
679.50	0.003402
680.00	0.003411
680.50	0.003470
681.00	0.003460
681.50	0.003438
682.00	0.003284
682.50	0.003225
683.00	0.003145
683.50	0.003177
684.00	0.003193
684.50	0.003307
685.00	0.003254
685.50	0.003173
686.00	0.003193
686.50	0.003241
687.00	0.003193
687.50	0.003267
688.00	0.003343
688.50	0.003279
689.00	0.003167
689.50	0.003188
690.00	0.003206
690.50	0.003186
691.00	0.003205
691.50	0.003266
692.00	0.003230
692.50	0.003120
693.00	0.003155
693.50	0.003099
694.00	0.003045
694.50	0.003108
695.00	0.003133
695.50	0.003096
696.00	0.003091
696.50	0.003098
697.00	0.003045
697.50	0.003036
698.00	0.003064
698.50	0.003040
699.00	0.002987
699.50	0.002972
700.00	0.002938
700.50	0.002877
701.00	0.002873
701.50	0.002807
702.00	0.002794
702.50	0.002851
703.00	0.002849
703.50	0.002843
704.00	0.002959
704.50	0.002973
705.00	0.002937
705.50	0.002936
706.00	0.002909
706.50	0.002895
707.00	0.002883
707.50	0.002928
708.00	0.002917
708.50	0.003046
709.00	0.003058
709.50	0.003075
710.00	0.003059
710.50	0.003074
711.00	0.003063
711.50	0.003051
712.00	0.003018
712.50	0.003050
713.00	0.002996
713.50	0.002831
714.00	0.002774
714.50	0.002774
715.00	0.002704
715.50	0.002693
716.00	0.002713
716.50	0.002678
717.00	0.002655
717.50	0.002632
718.00	0.002643
718.50	0.002676
719.00	0.002710
719.50	0.002705
720.00	0.002732
720.50	0.002753
721.00	0.002654
721.50	0.002681
722.00	0.002734
722.50	0.002715
723.00	0.002637
723.50	0.002690
724.00	0.002654
724.50	0.002648
725.00	0.002635
725.50	0.002697
726.00	0.002655
726.50	0.002671
727.00	0.002608
727.50	0.002555
728.00	0.002537
728.50	0.002698
729.00	0.002623
729.50	0.002610
730.00	0.002673
730.50	0.002683
731.00	0.002489
731.50	0.002452
732.00	0.002509
732.50	0.002532
733.00	0.002459
733.50	0.002493
734.00	0.002609
734.50	0.002461
735.00	0.002329
735.50	0.002354
736.00	0.002355
736.50	0.002281
737.00	0.002343
737.50	0.002389
738.00	0.002414
738.50	0.002438
739.00	0.002393
739.50	0.002417
740.00	0.002441
740.50	0.002434
741.00	0.002389
741.50	0.002443
742.00	0.002371
742.50	0.002378
743.00	0.002343
743.50	0.002361
744.00	0.002329
744.50	0.002285
745.00	0.002225
745.50	0.002295
746.00	0.002297
746.50	0.002297
747.00	0.002300
747.50	0.002262
748.00	0.002060
748.50	0.001993
749.00	0.001948
749.50	0.002002
750.00	0.002011
750.50	0.002113
751.00	0.002156
751.50	0.002207
752.00	0.002207
752.50	0.002193
753.00	0.002244
753.50	0.002216
754.00	0.002105
754.50	0.002101
755.00	0.002095
755.50	0.002001
756.00	0.001962
756.50	0.002027
757.00	0.001974
757.50	0.002027
758.00	0.002013
758.50	0.002016
759.00	0.002088
759.50	0.002128
760.00	0.002105
760.50	0.002150
761.00	0.002241
761.50	0.002220
762.00	0.002201
762.50	0.002130
763.00	0.002187
763.50	0.002085
764.00	0.002073
764.50	0.002068
765.00	0.002056
765.50	0.001879
766.00	0.001921
766.50	0.001883
767.00	0.001879
767.50	0.001963
768.00	0.002073
768.50	0.001976
769.00	0.001998
769.50	0.001971
770.00	0.001914
770.50	0.001986
771.00	0.002136
771.50	0.002158
772.00	0.002173
772.50	0.002200
773.00	0.002095
773.50	0.002025
774.00	0.001958
774.50	0.001992
775.00	0.001894
775.50	0.001966
776.00	0.001926
776.50	0.001994
777.00	0.001906
777.50	0.002062
778.00	0.001933
778.50	0.002023
779.00	0.001913
779.50	0.002105
780.00	0.002079
780.50	0.002134
781.00	0.002101
781.50	0.002121
782.00	0.001940
782.50	0.001973
783.00	0.002124
783.50	0.002013
784.00	0.001972
784.50	0.001991
785.00	0.001772
785.50	0.001555
786.00	0.001565
786.50	0.001539
787.00	0.001495
787.50	0.001596
788.00	0.001733
788.50	0.001703
789.00	0.001789
789.50	0.001863
790.00	0.001813
790.50	0.001711
791.00	0.001733
791.50	0.001682
792.00	0.001588
792.50	0.001626
793.00	0.001672
793.50	0.001708
794.00	0.001779
794.50	0.001837
795.00	0.001948
795.50	0.001931
796.00	0.001864
796.50	0.001743
797.00	0.001612
797.50	0.001466
798.00	0.001485
798.50	0.001525
799.00	0.001578
799.50	0.001688
800.00	0.001735
