"IPROH_1E-3.spc"
"Wavelength nm."	"Abs."
400.00	0.418273
400.50	0.417254
401.00	0.415666
401.50	0.413866
402.00	0.412016
402.50	0.410251
403.00	0.408360
403.50	0.406757
404.00	0.405081
404.50	0.403544
405.00	0.401825
405.50	0.400334
406.00	0.398834
406.50	0.397327
407.00	0.395875
407.50	0.394606
408.00	0.393278
408.50	0.392090
409.00	0.390807
409.50	0.389568
410.00	0.388442
410.50	0.387285
411.00	0.386168
411.50	0.385220
412.00	0.384169
412.50	0.383117
413.00	0.382161
413.50	0.381141
414.00	0.380133
414.50	0.379363
415.00	0.378563
415.50	0.377608
416.00	0.376831
416.50	0.376183
417.00	0.375505
417.50	0.374885
418.00	0.374384
418.50	0.373917
419.00	0.373415
419.50	0.373050
420.00	0.372815
420.50	0.372742
421.00	0.372426
421.50	0.372285
422.00	0.372043
422.50	0.371851
423.00	0.371680
423.50	0.371662
424.00	0.371659
424.50	0.371748
425.00	0.371788
425.50	0.371925
426.00	0.372110
426.50	0.372272
427.00	0.372525
427.50	0.372743
428.00	0.372994
428.50	0.373235
429.00	0.373526
429.50	0.373820
430.00	0.374222
430.50	0.374585
431.00	0.375042
431.50	0.375489
432.00	0.375969
432.50	0.376368
433.00	0.376830
433.50	0.377147
434.00	0.377558
434.50	0.377967
435.00	0.378406
435.50	0.378780
436.00	0.379317
436.50	0.379802
437.00	0.380239
437.50	0.380693
438.00	0.381293
438.50	0.381737
439.00	0.382165
439.50	0.382743
440.00	0.383330
440.50	0.383709
441.00	0.384202
441.50	0.384742
442.00	0.385090
442.50	0.385495
443.00	0.385978
443.50	0.386536
444.00	0.386989
444.50	0.387448
445.00	0.387835
445.50	0.388365
446.00	0.388796
446.50	0.389280
447.00	0.389823
447.50	0.390360
448.00	0.390726
448.50	0.391185
449.00	0.391510
449.50	0.391871
450.00	0.392254
450.50	0.392639
451.00	0.393015
451.50	0.393386
452.00	0.393598
452.50	0.393955
453.00	0.394228
453.50	0.394422
454.00	0.394690
454.50	0.394899
455.00	0.395044
455.50	0.395279
456.00	0.395558
456.50	0.395827
457.00	0.396164
457.50	0.396454
458.00	0.396702
