"NMI_1E-4.spc"
"Wavelength nm."	"Abs."
400.00	0.062283
400.50	0.062063
401.00	0.061992
401.50	0.061813
402.00	0.061458
402.50	0.061209
403.00	0.061122
403.50	0.060988
404.00	0.060810
404.50	0.060689
405.00	0.060556
405.50	0.060498
406.00	0.060327
406.50	0.060208
407.00	0.060154
407.50	0.060061
408.00	0.059857
408.50	0.059775
409.00	0.059645
409.50	0.059553
410.00	0.059494
410.50	0.059485
411.00	0.059278
411.50	0.059217
412.00	0.059025
412.50	0.058867
413.00	0.058753
413.50	0.058687
414.00	0.058637
414.50	0.058573
415.00	0.058496
415.50	0.058403
416.00	0.058297
416.50	0.058184
417.00	0.058112
417.50	0.058072
418.00	0.057991
418.50	0.057924
419.00	0.057924
419.50	0.057894
420.00	0.057833
420.50	0.057713
421.00	0.057680
421.50	0.057474
422.00	0.057391
422.50	0.057329
423.00	0.057300
423.50	0.057254
424.00	0.057265
424.50	0.057208
425.00	0.057189
425.50	0.057195
426.00	0.057089
426.50	0.057065
427.00	0.057126
427.50	0.057142
428.00	0.057117
428.50	0.057273
429.00	0.057383
429.50	0.057484
430.00	0.057644
430.50	0.057782
431.00	0.057841
431.50	0.057925
432.00	0.058005
432.50	0.058046
433.00	0.058184
433.50	0.058336
434.00	0.058495
434.50	0.058677
435.00	0.058900
435.50	0.059072
436.00	0.059297
436.50	0.059401
437.00	0.059474
437.50	0.059603
438.00	0.059749
438.50	0.059722
439.00	0.059958
439.50	0.060200
440.00	0.060379
440.50	0.060554
441.00	0.060796
441.50	0.060882
442.00	0.061025
442.50	0.061101
443.00	0.061166
443.50	0.061275
444.00	0.061422
444.50	0.061451
445.00	0.061453
445.50	0.061511
446.00	0.061560
446.50	0.061474
447.00	0.061484
447.50	0.061484
448.00	0.061436
448.50	0.061301
449.00	0.061303
449.50	0.061152
450.00	0.061035
450.50	0.060929
451.00	0.060829
451.50	0.060716
452.00	0.060642
452.50	0.060632
453.00	0.060521
453.50	0.060488
454.00	0.060435
454.50	0.060422
455.00	0.060293
455.50	0.060209
456.00	0.060183
456.50	0.060020
457.00	0.059874
457.50	0.059836
458.00	0.059747
458.50	0.059718
459.00	0.059744
459.50	0.059752
460.00	0.059770
460.50	0.059886
461.00	0.059861
461.50	0.059854
462.00	0.059917
462.50	0.059997
463.00	0.060082
463.50	0.060209
464.00	0.060452
464.50	0.060723
465.00	0.060881
465.50	0.061074
466.00	0.061354
466.50	0.061599
467.00	0.061761
467.50	0.062026
468.00	0.062282
468.50	0.062524
469.00	0.062880
469.50	0.063197
470.00	0.063579
470.50	0.064041
471.00	0.064437
471.50	0.064764
472.00	0.065140
472.50	0.065421
473.00	0.065725
473.50	0.066043
474.00	0.066326
474.50	0.066665
475.00	0.067022
475.50	0.067326
476.00	0.067596
476.50	0.067871
477.00	0.068101
477.50	0.068228
478.00	0.068381
478.50	0.068550
479.00	0.068702
479.50	0.068890
480.00	0.069081
480.50	0.069205
481.00	0.069256
481.50	0.069329
482.00	0.069354
482.50	0.069466
483.00	0.069441
483.50	0.069441
484.00	0.069350
484.50	0.069173
485.00	0.069046
485.50	0.068961
486.00	0.068868
486.50	0.068817
487.00	0.068797
487.50	0.068697
488.00	0.068624
488.50	0.068515
489.00	0.068370
489.50	0.068204
490.00	0.067980
490.50	0.067745
491.00	0.067494
491.50	0.067174
492.00	0.066897
492.50	0.066650
493.00	0.066319
493.50	0.065955
494.00	0.065623
494.50	0.065203
495.00	0.064694
495.50	0.064196
496.00	0.063688
496.50	0.063122
497.00	0.062622
497.50	0.062054
498.00	0.061445
498.50	0.060895
499.00	0.060316
499.50	0.059667
500.00	0.059066
500.50	0.058525
501.00	0.057822
501.50	0.057119
502.00	0.056393
502.50	0.055665
503.00	0.054911
503.50	0.054269
504.00	0.053682
504.50	0.053070
505.00	0.052503
505.50	0.051959
506.00	0.051480
506.50	0.051047
507.00	0.050631
507.50	0.050288
508.00	0.049957
508.50	0.049646
509.00	0.049410
509.50	0.049286
510.00	0.049144
510.50	0.049141
511.00	0.049229
511.50	0.049220
512.00	0.049318
512.50	0.049493
513.00	0.049653
513.50	0.049797
514.00	0.050082
514.50	0.050377
515.00	0.050776
515.50	0.051110
516.00	0.051503
516.50	0.051998
517.00	0.052499
517.50	0.052890
518.00	0.053488
