"NMI_SON_1E-5.spc"
"Wavelength nm."	"Abs."
400.00	0.005722
400.50	0.005742
401.00	0.005830
401.50	0.005940
402.00	0.005843
402.50	0.005775
403.00	0.005878
403.50	0.005816
404.00	0.005701
404.50	0.005695
405.00	0.005653
405.50	0.005622
406.00	0.005620
406.50	0.005692
407.00	0.005643
407.50	0.005656
408.00	0.005583
408.50	0.005683
409.00	0.005653
409.50	0.005676
410.00	0.005694
410.50	0.005721
411.00	0.005606
411.50	0.005571
412.00	0.005553
412.50	0.005576
413.00	0.005591
413.50	0.005636
414.00	0.005606
414.50	0.005563
415.00	0.005518
415.50	0.005472
416.00	0.005457
416.50	0.005536
417.00	0.005638
417.50	0.005664
418.00	0.005662
418.50	0.005616
419.00	0.005602
419.50	0.005571
420.00	0.005569
420.50	0.005565
421.00	0.005498
421.50	0.005383
422.00	0.005396
422.50	0.005450
423.00	0.005486
423.50	0.005536
424.00	0.005642
424.50	0.005571
425.00	0.005540
425.50	0.005521
426.00	0.005466
426.50	0.005414
427.00	0.005531
427.50	0.005466
428.00	0.005385
428.50	0.005482
429.00	0.005605
429.50	0.005546
430.00	0.005599
430.50	0.005694
431.00	0.005631
431.50	0.005563
432.00	0.005547
432.50	0.005539
433.00	0.005479
433.50	0.005555
434.00	0.005541
434.50	0.005595
435.00	0.005632
435.50	0.005696
436.00	0.005737
436.50	0.005697
437.00	0.005659
437.50	0.005707
438.00	0.005745
438.50	0.005685
439.00	0.005731
439.50	0.005803
440.00	0.005833
440.50	0.005816
441.00	0.005837
441.50	0.005801
442.00	0.005804
442.50	0.005732
443.00	0.005776
443.50	0.005781
444.00	0.005890
444.50	0.005893
445.00	0.005917
445.50	0.005881
446.00	0.005899
446.50	0.005859
447.00	0.005870
447.50	0.005815
448.00	0.005821
448.50	0.005868
449.00	0.005915
449.50	0.005909
450.00	0.005915
450.50	0.005901
451.00	0.005894
451.50	0.005878
452.00	0.005879
452.50	0.005937
453.00	0.005975
453.50	0.005958
454.00	0.005955
454.50	0.005956
455.00	0.005946
455.50	0.005881
456.00	0.005811
456.50	0.005778
457.00	0.005756
457.50	0.005806
458.00	0.005811
458.50	0.005908
459.00	0.005884
459.50	0.005825
460.00	0.005724
460.50	0.005730
461.00	0.005716
461.50	0.005752
462.00	0.005846
462.50	0.005917
463.00	0.005925
463.50	0.005904
464.00	0.005937
464.50	0.005984
465.00	0.005952
465.50	0.005964
466.00	0.006011
466.50	0.006045
467.00	0.006015
467.50	0.006098
468.00	0.006112
468.50	0.006137
469.00	0.006149
469.50	0.006180
470.00	0.006177
470.50	0.006290
471.00	0.006367
471.50	0.006405
472.00	0.006404
472.50	0.006489
473.00	0.006501
473.50	0.006474
474.00	0.006492
474.50	0.006537
475.00	0.006564
475.50	0.006591
476.00	0.006633
476.50	0.006676
477.00	0.006724
477.50	0.006636
478.00	0.006699
478.50	0.006685
479.00	0.006752
479.50	0.006799
480.00	0.006842
480.50	0.006818
481.00	0.006849
481.50	0.006752
482.00	0.006733
482.50	0.006817
483.00	0.006829
483.50	0.006853
484.00	0.006890
484.50	0.006854
485.00	0.006843
485.50	0.006804
486.00	0.006784
486.50	0.006771
487.00	0.006739
487.50	0.006749
488.00	0.006779
488.50	0.006724
489.00	0.006734
489.50	0.006727
490.00	0.006609
490.50	0.006536
491.00	0.006566
491.50	0.006553
492.00	0.006565
492.50	0.006588
493.00	0.006554
493.50	0.006518
494.00	0.006462
494.50	0.006400
495.00	0.006317
495.50	0.006283
496.00	0.006180
496.50	0.006037
497.00	0.006024
497.50	0.005967
498.00	0.005906
498.50	0.005896
499.00	0.005947
499.50	0.005849
500.00	0.005816
500.50	0.005693
501.00	0.005656
501.50	0.005517
502.00	0.005471
502.50	0.005427
503.00	0.005424
503.50	0.005315
504.00	0.005314
504.50	0.005186
505.00	0.005114
505.50	0.005074
506.00	0.005023
506.50	0.004991
507.00	0.004945
507.50	0.004899
508.00	0.004852
